month,web_revenue,fulfilment_cost,fc_%,,,,,,,,,
01/05/2021," £263,328 "," £55,700 ",21.2%,,,,,,,,,
01/06/2021," £247,876 "," £41,319 ",16.7%,,,,,,,,,
01/07/2021," £273,714 "," £49,144 ",18.0%,,,,,,,,,
01/08/2021," £274,837 "," £46,177 ",16.8%,,,,,,,,,
01/09/2021," £259,203 "," £51,959 ",20.0%,,,,,,,,,
01/10/2021," £314,691 "," £57,012 ",18.1%,,,,,,,,,
01/11/2021," £434,604 "," £87,570 ",20.1%,,,,,,,,,
01/12/2021," £350,916 "," £91,221 ",26.0%,,,,,,,,,
01/01/2022," £417,006 "," £90,482 ",21.7%,,,,,,,,,
01/02/2022," £334,363 "," £60,150 ",18.0%,,,,,,,,,
01/03/2022," £371,138 "," £71,213 ",19.2%,,,,,,,,,
01/04/2022," £402,248 "," £86,750 ",21.6%,,,,,,,,,
01/05/2022," £379,315 "," £75,308 ",19.9%,,,,,,,,,
01/06/2022," £366,239 "," £68,807 ",18.8%,,,,,,,,,
01/07/2022," £348,432 "," £74,725 ",21.4%,,,,,,,,,
01/08/2022," £344,460 "," £73,105 ",21.2%,,,,,,,,,
01/09/2022," £399,923 "," £87,840 ",22.0%,,,,,,,,,
01/10/2022," £418,258 "," £68,868 ",16.5%,,,,,,,,,
01/11/2022," £545,180 "," £91,557 ",16.8%,,,,,,,,,
01/12/2022," £375,569 "," £74,835 ",19.9%,,,,,,,,,
01/01/2023," £434,037 "," £100,803 ",23.2%,,,,,,,,,
01/02/2023," £405,899 "," £72,740 ",17.9%,,,,,,,,,
01/03/2023," £491,435 "," £94,909 ",19.3%,,,,,,,,,
01/04/2023," £425,257 "," £89,009 ",20.9%,,,,,,,,,
01/05/2023," £550,158 "," £102,488 ",18.6%,,,,,,,,,
01/06/2023," £523,141 "," £85,748 ",16.4%,,,,,,,,,
01/07/2023," £557,225 "," £85,196 ",15.3%,,,,,,,,,
01/08/2023," £579,264 "," £88,446 ",15.3%,,,,,,,,,
01/09/2023," £615,445 "," £102,265 ",16.6%,,,,,,,,,
01/10/2023," £709,030 "," £97,498 ",13.8%,,,,,,,,,
01/11/2023," £797,169 "," £98,144 ",12.3%,,,,,,,,,
01/12/2023," £696,475 "," £92,854 ",13.3%,,,,,,,,,
01/01/2024," £843,657 "," £117,428 ",13.9%,,,,,,,,,
01/02/2024," £790,525 "," £97,235 ",12.3%,,,,,,,,,
01/03/2024," £892,528 "," £110,674 ",12.4%,,,,,,,,,
01/04/2024," £948,577 "," £117,734 ",12.4%,,,,,,,,,
01/05/2024," £876,369 "," £123,783 ",14.1%,,,,,,,,,
01/06/2024," £848,821 "," £118,713 ",14.0%,,,,,,,,,
01/07/2024," £911,885 "," £122,574 ",13.4%,,,,,,,,,
01/08/2024," £910,282 "," £117,383 ",12.9%,,,,,,,,,
01/09/2024," £958,596 "," £129,769 ",13.5%,,,,,,,,,
01/10/2024," £1,068,652 "," £160,610 ",15.0%,,,,,,,,,
01/11/2024," £1,138,061 "," £147,280 ",12.9%,,,,,,,,,
01/12/2024," £1,155,782 "," £171,972 ",14.9%,,,,,,,,,
01/01/2025," £1,335,320 "," £190,435 ",14.3%,,,,,,,,,
01/02/2025," £1,222,306 "," £157,591 ",12.9%,,,,,,,,,
01/03/2025," £1,480,503 "," £171,978 ",11.6%,,,,,,,,,
01/04/2025," £1,458,103 "," £162,210 ",11.1%,,,,,,,,,
01/05/2025," £1,580,804 "," £166,519 ",10.5%,,,,,,,,,
01/06/2025," £1,659,417 "," £168,984 ",10.2%,,,,,,,,,
01/07/2025," £1,784,505 "," £210,747 ",11.8%,,,,,,,,,
01/08/2025," £1,904,464 "," £194,999 ",10.2%,,,,,,,,,
01/09/2025," £1,905,656 "," £201,966 ",10.6%,,,,,,,,,
01/10/2025," £2,089,446 "," £227,875 ",10.9%,,,,,,,,,
01/11/2025," £2,071,935 "," £212,958 ",10.3%,,,,,,,,,
01/12/2025," £2,174,658 "," £259,193 ",11.9%,,,,,,,,,
01/01/2026," £2,374,046 "," £242,362 ",10.2%,,,,,,,,,
01/02/2026," £2,118,731 "," £214,324 ",10.1%,,,,,,,,,
01/03/2026," £2,364,926 "," £241,972 ",10.2%,,,,,,,,,
01/04/2026," £2,282,968 "," £227,891 ",10.0%,,,,,,,,,
